"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Eritrea","Sub-Saharan Africa",2010,4689664,61.4661463414634,2117039512.19512,1299.28989642603,4.605,NA
"Eritrea","Sub-Saharan Africa",2012,NA,62.6449756097561,NA,NA,4.444,NA
"Eritrea","Sub-Saharan Africa",2009,4593549,60.853512195122,1856695551.21951,1282.33384570883,4.681,NA
"Spain","Europe & Central Asia",2012,46773055,82.4268292682927,1339946773437.24,32235.5959172997,1.32,NA
"Spain","Europe & Central Asia",2011,46742697,82.4756097560976,1487924659438.42,32530.0931368398,1.34,NA
"Spain","Europe & Central Asia",2010,46576897,81.6268292682927,1431672847682.12,32372.8543671681,1.37,NA
"Spain","Europe & Central Asia",2009,46362946,81.4756097560976,1499074742984.16,32796.6654667603,1.38,NA
"Ethiopia","Sub-Saharan Africa",2012,92191211,62.7935365853659,43310721414.0829,1256.68220812009,4.642,NA
"Ethiopia","Sub-Saharan Africa",2011,89858696,62.0830243902439,31952763089.33,1165.21683848196,4.77,NA
"Ethiopia","Sub-Saharan Africa",2010,87561814,61.2961219512195,29933790334.3418,1053.79672527899,4.903,71.27
"Ethiopia","Sub-Saharan Africa",2009,85302099,60.4157804878049,32437389116.038,949.493897250884,5.044,NA
"Finland","Europe & Central Asia",2011,5388272,80.4707317073171,273657214345.288,40251.3735098925,1.83,NA
"Finland","Europe & Central Asia",2012,5413971,80.6268292682927,256706466091.089,40437.5938723363,1.8,NA
"Finland","Europe & Central Asia",2009,5338871,79.719512195122,251499027507.641,37534.5019282014,1.86,NA
"Finland","Europe & Central Asia",2010,5363352,79.8707317073171,247814569536.424,38322.9267423552,1.87,NA
"Fiji","East Asia & Pacific",2012,874158,69.7432195121951,3977652382.81468,7688.77786554153,2.615,NA
"Fiji","East Asia & Pacific",2010,859952,69.3843658536586,3140508835.9485,7630.98884648177,2.669,NA
"Fiji","East Asia & Pacific",2009,851854,69.2028536585366,2870624635.68032,7392.1654013834,2.701,NA
"Fiji","East Asia & Pacific",2011,867327,69.565,3774537140.30783,7486.76143700218,2.641,NA
"Micronesia, Fed. Sts.","East Asia & Pacific",2011,103476,68.731,310287500,3410.28408372232,3.402,NA
"Micronesia, Fed. Sts.","East Asia & Pacific",2012,103516,68.8507073170732,325835160.290555,3491.34780826311,3.347,NA
"Micronesia, Fed. Sts.","East Asia & Pacific",2010,103619,68.6122682926829,294117200,3269.641342827,3.46,NA
"Micronesia, Fed. Sts.","East Asia & Pacific",2009,103961,68.4895365853659,277510900,3140.10038955922,3.522,NA
"France","Europe & Central Asia",2010,65027512,81.6634146341463,2646994701986.75,35891.2938160199,2.03,NA
"France","Europe & Central Asia",2012,65659790,81.9682926829268,2681416108537.39,37462.3250299433,2.01,NA
"France","Europe & Central Asia",2009,64707044,81.4146341463415,2693827452070.02,34797.474085009,2,NA
"France","Europe & Central Asia",2011,65342776,82.1146341463415,2862502085070.89,37325.3043394949,2.01,NA
"Gabon","Sub-Saharan Africa",2010,1541936,62.1208292682927,14358584300.3006,16004.0545161551,4.083,NA
"Gabon","Sub-Saharan Africa",2011,1577298,62.7050975609756,18186478119.9582,17100.7005205501,4.05,NA
"Gabon","Sub-Saharan Africa",2012,1613489,63.2807317073171,17171447372.3334,17919.0644839789,4.01,NA
"Gabon","Sub-Saharan Africa",2009,1507428,61.5314634146342,12065138272.7538,15102.1649035054,4.112,NA
"United Kingdom","Europe & Central Asia",2012,63700300,80.9048780487805,2630472981169.65,37569.3152811917,1.92,NA
"United Kingdom","Europe & Central Asia",2011,63258918,80.9512195121951,2594904662714.31,36590.1593671037,1.91,NA
"United Kingdom","Europe & Central Asia",2010,62766365,80.4024390243902,2403504326328.8,35879.7993942833,1.92,NA
